Video Name,n_faces,total_area_mm2,n_observed_faces,n_unobserved_faces,observed_area_mm2,unobserved_area_mm2,unobserved_frac_by_count,unobserved_frac_by_area,n_unobserved_components,comp_area_top1_mm2,comp_area_top2_mm2,comp_area_top3_mm2,comp_area_top4_mm2,comp_area_top5_mm2,n_components_gt5mm_diam,n_components_gt10mm_diam,largest_component_equiv_diam_mm,Colon,Segment,Phantom Number,Video Number ,Camera Speed,Edge Enhancement,Brightness,Debris,Deformation,Open End Visible,Tags,Comments,Qualitative Score,Quantitative Score,Youtube Preview URL ID,Total Frames
c1_transverse1_t4_v1,319314,22485.389614707678,227679,91635,16398.910926165387,6086.47868854229,0.2869745767489055,0.27068593397025814,70,4821.868705922526,1059.3473264862942,81.94979905228175,68.77781533287788,23.22637960239973,5,3,78.3542846046183,c1,transverse1,t4,v1,15.0,3.0,0.0,no,no,yes,,,2.0,0.1491,lJWvSawG2WU,315
c1_transverse1_t4_v2,319314,22485.389614707678,227508,91806,16393.643533979543,6091.746080728137,0.28751009977639563,0.2709201924054511,70,4919.060725233461,960.4750053635051,74.57170142273047,51.904236421809145,24.09093659188121,7,2,79.14001919585863,c1,transverse1,t4,v2,10.0,3.0,0.0,no,no,yes,,,2.0,0.0628,mZia7NzFt7U,626
c1_transverse1_t4_v3,319314,22485.389614707678,228280,91034,16444.985045328252,6040.404569379425,0.2850924168686622,0.26863686477677934,72,4919.476916372341,922.7488468015752,73.82505671998751,37.898905342118525,24.40770064534612,7,2,79.14336705837744,c1,transverse1,t4,v3,10.0,3.0,0.0,yes,no,yes,,Foam and debris,2.0,,vAAXRQL8mpg,626
c1_transverse2_t1_v1,150868,17898.362332061202,101972,48896,12325.40925071585,5572.953081345353,0.3240978868945038,0.311366647850377,61,2310.9070119295034,1759.0741146427779,695.5017334600079,247.66695932223038,204.46680718604944,7,7,54.243323937553974,c1,transverse2,t1,v1,20.0,3.0,0.0,no,no,yes,polyp,Straight towards the polyp,3.0,0.0387,H9W-P-i1x84,268
c1_transverse2_t1_v2,150868,17898.362696789743,110239,40629,13464.646489518062,4433.71620727168,0.2693016411697643,0.24771630133894387,69,1951.9763238694536,1140.3952591517634,973.1303279904324,219.6661388635406,40.31734453612322,7,4,49.853118718264355,c1,transverse2,t1,v2,10.0,3.0,0.0,no,no,yes,loop ; polyp,inspect the polyp; start and end point is the same,3.0,-0.4842,U_XqPPsEQZ0,517
c1_transverse2_t1_v3,150868,17898.351801039513,110703,40165,13516.958864681721,4381.392936357793,0.26622610493941723,0.24479309520015843,73,1905.451122783761,1347.770003330134,969.6088408078688,33.90598665359542,32.19573437448726,7,3,49.2554131044325,c1,transverse2,t1,v3,10.0,3.0,0.0,yes,no,yes,loop ; polyp,false positive  polyp-like fecal debris near poyp,3.0,,CD_P9lvW31A,517
c1_transverse2_t2_v1,150868,17898.369560005798,113431,37437,13777.988522891268,4120.38103711453,0.24814407296444574,0.23020985365737387,78,1900.0889123760917,825.2900362216319,632.1280109902112,285.21519235652596,257.26299961913725,7,6,49.186058408354555,c1,transverse2,t2,v1,12.0,2.0,3.0,no,no,yes,polyp; saturation,towards the polyp & inspect it,1.0,0.9139,ycOEQ760BOE,457
c1_transverse2_t2_v2,150868,17898.366243360928,122284,28584,14754.127733966772,3144.238509394155,0.1894636370867248,0.17567181644640067,62,1548.0993061351792,1259.9417497022653,85.62138930747018,84.87568172852698,70.69197497061165,7,4,44.39708611776652,c1,transverse2,t2,v2,12.0,2.0,3.0,no,no,yes,polyp; saturation,Inspect the polyp,1.0,0.6421,3FOnycgopS4,559
c1_transverse2_t2_v3,150868,17898.366243360928,122309,28559,14757.364045187562,3141.0021981733644,0.1892979293156932,0.17549100043354302,61,1548.029195376428,1257.837659076025,86.22961690723821,84.1269184572902,70.6061596543272,7,4,44.39608077249414,c1,transverse2,t2,v3,12.0,2.0,3.0,yes,no,yes,polyp; saturation,yellow foam,1.0,,4TJbDz6ZU40,559
c1_transverse2_t3_v1,150868,17898.36840844705,98862,52006,12140.022644382969,5758.345764064081,0.34471193361083863,0.32172461939862945,33,2358.835575032108,1718.8921718408767,1557.0710320261837,50.54573456585506,34.356191280514665,6,3,54.80294457106285,c1,transverse2,t3,v1,20.0,3.0,4.0,no,no,yes,,swinging exploratory motion,1.0,1.8649,KJUb2D-RULE,578
c1_transverse2_t3_v2,150868,17898.360980346763,110157,40711,13503.655161807505,4394.705818539258,0.26984516265874803,0.24553677419764025,44,1902.2452573234805,1807.1966434982055,352.23558173816184,105.68137598929974,79.5721619278514,8,5,49.21396026951266,c1,transverse2,t3,v2,17.0,3.0,4.0,no,no,yes,straight line,straight line motion backing up,1.0,0.6416,ubBOpvW0CJY,249
